,TL BASED,USD BASED,imkb_x
date,BSE100,BSE200,BSE500
25-Feb-15,9.089377662,8.194977644,9.332771256
26-Feb-15,9.080713347,8.186252826,9.324225153
27-Feb-15,9.098950606,8.204206986,9.341832562
28-Feb-15,9.104364111,8.209180512,9.346124849
02-Mar-15,9.111582456,8.216866174,9.354264943
03-Mar-15,9.116762391,8.222413994,9.360665458
04-Mar-15,9.108485925,8.214267523,9.352384925
05-Mar-15,9.110708969,8.217557289,9.355971146
09-Mar-15,9.090944036,8.19874946,9.3379558
10-Mar-15,9.0868272,8.195165331,9.334318401
11-Mar-15,9.085103626,8.193159672,9.332064077
12-Mar-15,9.094730848,8.203123337,9.342286634
13-Mar-15,9.079104628,8.188255697,9.327803356
16-Mar-15,9.076971252,8.186127513,9.325380093
17-Mar-15,9.087613259,8.19675374,9.335520868
18-Mar-15,9.084686442,8.19455798,9.333810318
19-Mar-15,9.078449918,8.188708569,9.327956283
20-Mar-15,9.070185953,8.180012704,9.318325341
23-Mar-15,9.06632103,8.175733337,9.313472607
24-Mar-15,9.06583354,8.17467753,9.312181
25-Mar-15,9.063748056,8.172980273,9.309873441
26-Mar-15,9.043952792,8.154747342,9.292242888
27-Mar-15,9.042812448,8.153718036,9.291318334
30-Mar-15,9.060716763,8.17098047,9.30925224
31-Mar-15,9.06028463,8.171189676,9.310072578
01-Apr-15,9.071725222,8.182863857,9.322224264
06-Apr-15,9.080741807,8.191839712,9.331499923
07-Apr-15,9.082898969,8.194533126,9.334548059
08-Apr-15,9.089480357,8.200760417,9.341109829
09-Apr-15,9.095311041,8.206414432,9.346433855
10-Apr-15,9.096632895,8.207791616,9.347941721
13-Apr-15,9.102719526,8.213582259,9.353395148
15-Apr-15,9.09411999,8.205420592,9.345682125
16-Apr-15,9.087370156,8.199277316,9.339134562
17-Apr-15,9.076209943,8.187246418,9.327176293
20-Apr-15,9.05763315,8.16828515,9.308038607
21-Apr-15,9.049848798,8.16073251,9.301091996
22-Apr-15,9.055354177,8.165574017,9.305250472
23-Apr-15,9.052025534,8.162650259,9.302565799
24-Apr-15,9.040259985,8.14990787,9.288503468
27-Apr-15,9.027822796,8.136167005,9.273529233
28-Apr-15,9.037084002,8.146164292,9.283838944
29-Apr-15,9.0324462,8.143436031,9.282053407
30-Apr-15,9.026605016,8.13886551,9.277702715
04-May-15,9.044367248,8.156553254,9.295548791
05-May-15,9.044678863,8.157424897,9.296427238
06-May-15,9.015508486,8.127927167,9.267197907
07-May-15,9.007924265,8.119026386,9.257647532
08-May-15,9.02505603,8.136041112,9.27453696
11-May-15,9.041036121,8.152393906,9.29025261
12-May-15,9.017247007,8.130168018,9.268481913
13-May-15,9.031303415,8.144371444,9.282038514
14-May-15,9.032222766,8.14652943,9.284524413
15-May-15,9.036079838,8.150649713,9.288743891
18-May-15,9.04916407,8.162975227,9.300817071
19-May-15,9.048488279,8.162641706,9.300796061
20-May-15,9.05414026,8.167913691,9.305767818
21-May-15,9.053727497,8.16706534,9.304882985
22-May-15,9.05739663,8.170816467,9.308383178
25-May-15,9.048447129,8.163425446,9.301365931
26-May-15,9.044678863,8.160266787,9.298128697
27-May-15,9.044102772,8.159735084,9.297446994
28-May-15,9.041188908,8.156897414,9.294775266
29-May-15,9.053746209,8.169826222,9.307808222
01-Jun-15,9.052063022,8.168480748,9.306571945
02-Jun-15,9.02945019,8.145932389,9.284329408
03-Jun-15,9.015670082,8.132206952,9.269677577
04-Jun-15,9.015482969,8.132348024,9.269835886
05-Jun-15,9.013754766,8.131201245,9.269027117
08-Jun-15,9.003498228,8.120475711,9.257900256
09-Jun-15,9.001513841,8.118344149,9.25563491
10-Jun-15,9.013821712,8.130438938,9.267484119
11-Jun-15,8.994526145,8.112072024,9.249538008
12-Jun-15,8.996391916,8.11342664,9.250478933
15-Jun-15,9.000179677,8.117076754,9.25410268
16-Jun-15,9.003948229,8.120767108,9.257665654
17-Jun-15,9.010119575,8.128166234,9.265411721
18-Jun-15,9.020146711,8.137635567,9.275159479
19-Jun-15,9.027399023,8.144595,9.281669845
22-Jun-15,9.042316909,8.159437664,9.29625106
23-Jun-15,9.045729845,8.162581831,9.299617846
