Date,Open,High,Low,Close
01/18/24, 16440.66, 16579.12, 16421.20, 16567.35
01/17/24, 16400.42, 16435.68, 16345.02, 16431.69
01/16/24, 16497.54, 16581.93, 16476.09, 16571.68
01/15/24, 16723.24, 16736.16, 16609.22, 16622.22
01/12/24, 16649.45, 16752.24, 16608.00, 16704.56
01/11/24, 16775.92, 16839.49, 16541.38, 16547.03
01/10/24, 16703.12, 16753.69, 16654.99, 16689.81
01/09/24, 16743.27, 16743.27, 16611.53, 16688.36
01/08/24, 16618.51, 16716.47, 16517.49, 16716.47
01/05/24, 16504.88, 16645.89, 16448.71, 16594.21
01/04/24, 16563.69, 16626.84, 16501.40, 16617.29
01/03/24, 16771.35, 16784.07, 16479.92, 16538.39
01/02/24, 16828.75, 16963.47, 16648.80, 16769.36
12/29/23, 16729.26, 16758.53, 16726.97, 16751.64
12/28/23, 16780.95, 16783.79, 16688.52, 16701.55
12/27/23, 16727.77, 16775.71, 16697.58, 16742.07
12/22/23, 16673.30, 16735.32, 16651.78, 16706.18
12/21/23, 16667.31, 16708.35, 16624.16, 16687.42
12/20/23, 16779.41, 16789.96, 16694.56, 16733.05
12/19/23, 16657.44, 16750.51, 16656.64, 16744.41
12/18/23, 16683.69, 16744.27, 16624.65, 16650.55
12/15/23, 16822.50, 16890.11, 16713.70, 16751.44
12/14/23, 16948.79, 17003.28, 16670.35, 16752.23
12/13/23, 16811.56, 16836.45, 16760.12, 16766.05
12/12/23, 16823.01, 16837.18, 16753.81, 16791.74
12/11/23, 16760.59, 16817.81, 16734.27, 16794.43
12/08/23, 16644.62, 16782.72, 16630.18, 16759.22
12/07/23, 16623.89, 16655.30, 16595.11, 16628.99
12/06/23, 16565.65, 16727.07, 16536.12, 16656.44
12/05/23, 16405.14, 16551.34, 16394.02, 16533.11
12/04/23, 16390.17, 16455.68, 16386.80, 16404.76
12/01/23, 16296.92, 16399.06, 16279.45, 16397.52
11/30/23, 16204.74, 16262.96, 16169.11, 16215.43
11/29/23, 16013.16, 16208.97, 16010.48, 16166.45
11/28/23, 15939.19, 15993.42, 15915.40, 15992.67
11/27/23, 16007.26, 16039.42, 15957.96, 15966.37
11/24/23, 15988.19, 16041.17, 15972.67, 16029.49
11/23/23, 15976.62, 16005.45, 15958.06, 15994.73
11/22/23, 15965.13, 15998.41, 15931.74, 15957.82
11/21/23, 15911.02, 15948.07, 15891.31, 15900.53
11/20/23, 15915.24, 15929.93, 15854.82, 15901.33
11/17/23, 15828.78, 15952.45, 15826.67, 15919.16
11/16/23, 15806.91, 15862.09, 15783.51, 15786.61
11/15/23, 15631.67, 15759.84, 15628.19, 15748.17
11/14/23, 15358.59, 15632.44, 15337.60, 15614.43
11/13/23, 15285.12, 15346.79, 15252.27, 15345.00
11/10/23, 15296.58, 15309.52, 15171.58, 15234.39
11/09/23, 15246.50, 15364.49, 15212.99, 15352.54
11/08/23, 15093.48, 15287.73, 15086.41, 15229.60
11/07/23, 15084.79, 15194.53, 15068.25, 15152.64
11/06/23, 15219.32, 15223.41, 15110.84, 15135.97
11/03/23, 15203.80, 15269.50, 15149.72, 15189.25
11/02/23, 15033.65, 15202.43, 15028.03, 15143.60
11/01/23, 14851.96, 14949.58, 14786.32, 14923.27
10/31/23, 14741.44, 14829.62, 14722.38, 14810.34
10/30/23, 14770.95, 14798.00, 14678.73, 14716.54
10/27/23, 14757.11, 14824.29, 14667.37, 14687.41
10/26/23, 14696.22, 14795.41, 14655.08, 14731.05
10/25/23, 14870.63, 14933.69, 14789.63, 14892.18
10/24/23, 14802.52, 14916.60, 14750.32, 14879.94
10/23/23, 14823.03, 14838.01, 14630.21, 14800.72
10/20/23, 14872.02, 14936.49, 14798.47, 14798.47
10/19/23, 15060.65, 15104.37, 14984.59, 15045.23
10/18/23, 15244.05, 15271.15, 15081.69, 15094.91
10/17/23, 15211.29, 15288.32, 15117.24, 15251.69
10/16/23, 15219.42, 15271.51, 15103.12, 15237.99
10/13/23, 15400.09, 15409.89, 15178.07, 15186.66
10/12/23, 15537.87, 15575.28, 15413.20, 15425.03
10/11/23, 15366.78, 15486.11, 15361.74, 15460.01
10/10/23, 15272.57, 15443.45, 15272.57, 15423.52
10/09/23, 15143.29, 15201.06, 15077.66, 15128.11
10/06/23, 15109.16, 15230.89, 15033.55, 15229.77
10/05/23, 15113.94, 15157.70, 15048.42, 15070.22
10/04/23, 14979.81, 15174.63, 14948.08, 15099.92
10/03/23, 15184.49, 15257.86, 15074.85, 15085.21
10/02/23, 15439.96, 15476.38, 15192.01, 15247.21
09/29/23, 15394.82, 15515.99, 15382.56, 15386.58
09/28/23, 15229.10, 15323.73, 15138.66, 15323.50
09/27/23, 15225.58, 15299.68, 15194.68, 15217.45
09/26/23, 15330.91, 15360.43, 15229.35, 15255.87
09/25/23, 15513.32, 15572.14, 15329.40, 15405.49
09/22/23, 15473.80, 15592.27, 15471.75, 15557.29
09/21/23, 15650.98, 15696.66, 15548.69, 15571.86
09/20/23, 15703.09, 15810.36, 15699.34, 15781.59
09/19/23, 15688.07, 15743.90, 15630.94, 15664.48
09/18/23, 15858.81, 15870.62, 15693.87, 15727.12
09/15/23, 15940.39, 15989.30, 15871.17, 15893.53
09/14/23, 15652.41, 15824.06, 15588.12, 15805.29
09/13/23, 15648.92, 15726.60, 15564.64, 15654.03
09/12/23, 15804.08, 15808.38, 15686.34, 15715.53
09/11/23, 15799.42, 15867.57, 15771.07, 15800.99
09/08/23, 15777.56, 15783.38, 15577.04, 15740.30
09/07/23, 15661.66, 15794.72, 15661.38, 15718.66
09/06/23, 15712.59, 15781.89, 15676.51, 15741.37
09/05/23, 15729.78, 15838.44, 15691.49, 15771.71
09/04/23, 15904.63, 15958.74, 15795.97, 15824.85
09/01/23, 15936.34, 15984.59, 15840.25, 15840.34
08/31/23, 15937.39, 16042.66, 15914.43, 15947.08
08/30/23, 15956.92, 15960.40, 15823.33, 15891.93
08/29/23, 15844.76, 15942.12, 15805.42, 15930.88
08/28/23, 15756.47, 15804.95, 15673.89, 15792.61
08/25/23, 15582.95, 15739.78, 15578.97, 15631.82
08/24/23, 15876.22, 15896.74, 15618.69, 15621.49
08/23/23, 15761.25, 15820.95, 15672.43, 15728.41
08/22/23, 15684.64, 15799.34, 15677.44, 15705.62
08/21/23, 15573.95, 15710.21, 15571.82, 15603.28
08/18/23, 15597.12, 15612.88, 15468.65, 15574.26
08/17/23, 15712.94, 15793.53, 15664.30, 15676.90
